item_number,description,category,item_link,parts_link,release_year
cty0906,"Arctic Explorer Female - Ski Beanie Hat, Light Blue Ski Goggles, Snowshoes",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0906,https://www.bricklink.com/catalogItemInv.asp?M=cty0906,2018
cty0491,"Arctic Explorer, Female",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0491,https://www.bricklink.com/catalogItemInv.asp?M=cty0491,2014
cty0554,"Arctic Explorer, Female with Snowshoes",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0554,https://www.bricklink.com/catalogItemInv.asp?M=cty0554,2014
cty0493,"Arctic Explorer, Male with Green Goggles",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0493,https://www.bricklink.com/catalogItemInv.asp?M=cty0493,2014
cty0497,"Arctic Explorer, Male with Green Goggles and Snowshoes",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0497,https://www.bricklink.com/catalogItemInv.asp?M=cty0497,2014
cty0492,"Arctic Explorer, Male with Orange Goggles",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0492,https://www.bricklink.com/catalogItemInv.asp?M=cty0492,2014
cty0495,Arctic Helicopter Pilot,Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0495,https://www.bricklink.com/catalogItemInv.asp?M=cty0495,2014
cty0490,Arctic Helicrane Pilot,Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0490,https://www.bricklink.com/catalogItemInv.asp?M=cty0490,2014
cty0905,Arctic Photographer / Biologist,Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0905,https://www.bricklink.com/catalogItemInv.asp?M=cty0905,2018
cty0924,Arctic Plane / Quadcopter Pilot Female,Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0924,https://www.bricklink.com/catalogItemInv.asp?M=cty0924,2018
cty0498,Arctic Plane Pilot,Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0498,https://www.bricklink.com/catalogItemInv.asp?M=cty0498,2014
cty0496,Arctic Research Assistant,Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0496,https://www.bricklink.com/catalogItemInv.asp?M=cty0496,2014
cty0553,"Arctic Research Assistant with Snowshoes, Dark Blue Legs and Knit Cap",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0553,https://www.bricklink.com/catalogItemInv.asp?M=cty0553,2014
cty0552,Arctic Scientist,Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0552,https://www.bricklink.com/catalogItemInv.asp?M=cty0552,2014
cty0494,"Arctic Scientist - Dark Brown Hair, Beard",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0494,https://www.bricklink.com/catalogItemInv.asp?M=cty0494,2014
cty0509,Arctic Scout,Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0509,https://www.bricklink.com/catalogItemInv.asp?M=cty0509,2014
cty0904,Arctic Snowmobile Driver,Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0904,https://www.bricklink.com/catalogItemInv.asp?M=cty0904,2018
twn193,"Artist, Female",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=twn193,https://www.bricklink.com/catalogItemInv.asp?M=twn193,2014
cty0727,Astronaut - Female,Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0727,https://www.bricklink.com/catalogItemInv.asp?M=cty0727,2016
cty1036,"Astronaut - Female, Blue Jumpsuit, Reddish Brown Hair Swept Back Into Bun, Open Mouth Smile",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty1036,https://www.bricklink.com/catalogItemInv.asp?M=cty1036,2019
cty1067,"Astronaut - Female, Blue Jumpsuit, Tan Hair Tousled with Side Part, Freckles, Open Smile with Teeth",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty1067,https://www.bricklink.com/catalogItemInv.asp?M=cty1067,2019
twn411,"Astronaut - Female, Flat Silver Spacesuit with Harness and White Panel with Classic Space Logo, Reddish Brown Hair",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=twn411,https://www.bricklink.com/catalogItemInv.asp?M=twn411,2021
cty1008,"Astronaut - Female, Orange Spacesuit with Dark Bluish Gray Lines, Trans Light Blue Large Visor, Freckles with Smirk and Winking",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty1008,https://www.bricklink.com/catalogItemInv.asp?M=cty1008,2019
cty1065,"Astronaut - Female, Orange Spacesuit with Dark Bluish Gray Lines, Trans Light Blue Large Visor, Open Mouth Smile",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty1065,https://www.bricklink.com/catalogItemInv.asp?M=cty1065,2019
cty1064,"Astronaut - Female, White Spacesuit with Orange Lines, Closed Mouth Smile",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty1064,https://www.bricklink.com/catalogItemInv.asp?M=cty1064,2019
cty1039,"Astronaut - Female, White Spacesuit with Orange Lines, Side Lamp, Smile",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty1039,https://www.bricklink.com/catalogItemInv.asp?M=cty1039,2019
twn303,Astronaut - Male with Backpack,Town,https://bricklink.com/v2/catalog/catalogitem.page?M=twn303,https://www.bricklink.com/catalogItemInv.asp?M=twn303,2017
cty1040,"Astronaut - Male, Blue Jumpsuit, Black Hair Short Tousled with Side Part, Queasy and Open Mouth Smile",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty1040,https://www.bricklink.com/catalogItemInv.asp?M=cty1040,2019
cty1068,"Astronaut - Male, Blue Jumpsuit, Dark Bluish Gray Hair and Full Angular Beard, Open Mouth Smile",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty1068,https://www.bricklink.com/catalogItemInv.asp?M=cty1068,2019
cty1041,"Astronaut - Male, Blue Jumpsuit, Dark Brown Hair Short Combed Sideways Part Left, Scared and Lopsided Smile",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty1041,https://www.bricklink.com/catalogItemInv.asp?M=cty1041,2019
cty1028,"Astronaut - Male, Bright Light Blue Spacesuit with Blue Belt, Trans Orange Large Visor, Open Mouth Smile",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty1028,https://www.bricklink.com/catalogItemInv.asp?M=cty1028,2019
twn400,"Astronaut - Male, Flat Silver Spacesuit with Harness and White Panel with Classic Space Logo, Stubble",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=twn400,https://www.bricklink.com/catalogItemInv.asp?M=twn400,2020
