"","X","item_number","description","category","item_link","minifigs_link","color_link","Name","ID","PriceLink","hexCode"
"418",666,"3626pb3612","Minifigure, Head Dual Sided Dark Tan Eyebrows, Black Eyes, Dark Orange Freckles, Open Mouth Grin with White Teeth / Smile Pattern",2024,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3612","https://www.bricklink.com/catalogItemIn.asp?P=3626pb3612&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3612#T=C","Light Nougat",90,"https://www.bricklink.com/catalogPG.asp?P=3626pb3612&ColorID=90","#faccae"
"419",667,"3626pb3760","Minifigure, Head Dual Sided Dark Tan Eyebrows, Medium Nougat Chin Dimple, Grin / Lopsided Grin with Raised Eyebrow Right Pattern",2024,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3760","https://www.bricklink.com/catalogItemIn.asp?P=3626pb3760&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3760#T=C","Light Nougat",90,"https://www.bricklink.com/catalogPG.asp?P=3626pb3760&ColorID=90","#faccae"
"420",671,"3626pb3596","Minifigure, Head Dual Sided Female Black Eyebrows and Beauty Mark, Medium Brown Lips and Wrinkles, Grin / Wink and Lopsided Open Mouth Smile with Teeth Pattern",2024,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3596","https://www.bricklink.com/catalogItemIn.asp?P=3626pb3596&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3596#T=C","Medium Nougat",150,"https://www.bricklink.com/catalogPG.asp?P=3626pb3596&ColorID=150","#dd9f55"
"421",674,"3626pb3736","Minifigure, Head Dual Sided Female Black Eyebrows and Eyelashes, Dark Orange Lips, Open Mouth Smile / Frown, Raised Left Eyebrow Pattern",2024,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3736","https://www.bricklink.com/catalogItemIn.asp?P=3626pb3736&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3736#T=C","Nougat",28,"https://www.bricklink.com/catalogPG.asp?P=3626pb3736&ColorID=28","#f8ae79"
"422",675,"3626pb3758","Minifigure, Head Dual Sided Female Black Eyebrows and Eyelashes, Medium Brown Eye Shadow and Lips, Grin / Open Mouth Smile with Teeth Pattern",2024,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3758","https://www.bricklink.com/catalogItemIn.asp?P=3626pb3758&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3758#T=C","Medium Tan",241,"https://www.bricklink.com/catalogPG.asp?P=3626pb3758&ColorID=241","#d9c594"
"423",676,"3626pb3759","Minifigure, Head Dual Sided Female Black Eyebrows and Eyelashes, Medium Brown Eyelids and Lips, Lopsided Grin with Raised Eyebrow Right / Scowl with Dark Purple Sunglasses with Medium Lavender Lenses Pattern",2024,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3759","https://www.bricklink.com/catalogItemIn.asp?P=3626pb3759&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3759#T=C","Medium Tan",241,"https://www.bricklink.com/catalogPG.asp?P=3626pb3759&ColorID=241","#d9c594"
"424",677,"3626pb3726","Minifigure, Head Dual Sided Female Black Eyebrows and Eyelashes, Medium Nougat Freckles, Dark Red Lips, Neutral / Open Mouth Grin with Teeth Pattern",2024,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3726","https://www.bricklink.com/catalogItemIn.asp?P=3626pb3726&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3726#T=C","Medium Nougat",150,"https://www.bricklink.com/catalogPG.asp?P=3626pb3726&ColorID=150","#dd9f55"
"425",678,"3626pb3510","Minifigure, Head Dual Sided Female Black Eyebrows and Eyelashes, Medium Nougat Lips, Sweat Drops and Open Mouth Smile / Crooked Mouth Pattern",2024,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3510","https://www.bricklink.com/catalogItemIn.asp?P=3626pb3510&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3510#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb3510&ColorID=3","#f3d000"
"426",682,"3626pb3709","Minifigure, Head Dual Sided Female Black Eyebrows and Eyelashes, Reddish Brown Lips, Black Chin Strap, Grin / Angry Frown Pattern",2024,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3709","https://www.bricklink.com/catalogItemIn.asp?P=3626pb3709&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3709#T=C","Medium Nougat",150,"https://www.bricklink.com/catalogPG.asp?P=3626pb3709&ColorID=150","#dd9f55"
"427",683,"3626pb3521","Minifigure, Head Dual Sided Female Black Eyebrows and Glasses, Medium Lavender Lips, Lopsided Grin / Stern Pattern",2024,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3521","https://www.bricklink.com/catalogItemIn.asp?P=3626pb3521&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3521#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb3521&ColorID=3","#f3d000"
"428",684,"3626pb3578","Minifigure, Head Dual Sided Female Black Eyebrows and Single Eyelashes, Red Lips, Lopsided Grin / Scowl Pattern",2024,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3578","https://www.bricklink.com/catalogItemIn.asp?P=3626pb3578&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3578#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb3578&ColorID=3","#f3d000"
"429",685,"3626pb3598","Minifigure, Head Dual Sided Female Black Eyebrows Raised, Dark Orange Wrinkles and Lips, Mouth Closed Angry / Open Smile with White Teeth Pattern",2024,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3598","https://www.bricklink.com/catalogItemIn.asp?P=3626pb3598&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3598#T=C","Medium Tan",241,"https://www.bricklink.com/catalogPG.asp?P=3626pb3598&ColorID=241","#d9c594"
"430",686,"3626pb3683","Minifigure, Head Dual Sided Female Black Eyebrows, Beauty Mark, Medium Nougat Lips, Scar, Lopsided Grin / Open Mouth Smile and Closed Eyes Pattern",2024,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3683","https://www.bricklink.com/catalogItemIn.asp?P=3626pb3683&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3683#T=C","Light Nougat",90,"https://www.bricklink.com/catalogPG.asp?P=3626pb3683&ColorID=90","#faccae"
"431",687,"3626pb3509","Minifigure, Head Dual Sided Female Black Eyebrows, Bright Light Orange Cheek Spots, Closed Eyes, Open Mouth Smile / Closed Mouth Smile Pattern",2024,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3509","https://www.bricklink.com/catalogItemIn.asp?P=3626pb3509&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3509#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb3509&ColorID=3","#f3d000"
"432",688,"3626pb3732","Minifigure, Head Dual Sided Female Black Eyebrows, Bright Pink Birthmark, Open Mouth Smile / Laughing with Teeth and Red Tongue Pattern",2024,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3732","https://www.bricklink.com/catalogItemIn.asp?P=3626pb3732&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3732#T=C","Light Nougat",90,"https://www.bricklink.com/catalogPG.asp?P=3626pb3732&ColorID=90","#faccae"
"433",689,"3626pb3734","Minifigure, Head Dual Sided Female Black Eyebrows, Dark Brown Eyes and Eyelashes, Nougat Glasses, Dark Orange Lips, Lopsided Grin / Black Eyelashes, Open Mouth Smile with Teeth, No Glasses Pattern",2024,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3734","https://www.bricklink.com/catalogItemIn.asp?P=3626pb3734&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3734#T=C","Medium Brown",240,"https://www.bricklink.com/catalogPG.asp?P=3626pb3734&ColorID=240","#a16c42"
"434",690,"3626pb3681","Minifigure, Head Dual Sided Female Black Eyebrows, Dark Brown Lips, Cheek Lines and Scar, Lopsided Grin / Open Mouth Scowl Pattern",2024,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3681","https://www.bricklink.com/catalogItemIn.asp?P=3626pb3681&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3681#T=C","Reddish Brown",88,"https://www.bricklink.com/catalogPG.asp?P=3626pb3681&ColorID=88","#843419"
"435",692,"3626pb3674","Minifigure, Head Dual Sided Female Black Eyebrows, Dark Orange Lips and Cheek Lines, Frown / Lopsided Open Mouth Smile and Wink Pattern",2024,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3674","https://www.bricklink.com/catalogItemIn.asp?P=3626pb3674&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3674#T=C","Nougat",28,"https://www.bricklink.com/catalogPG.asp?P=3626pb3674&ColorID=28","#f8ae79"
"436",693,"3626pb3808","Minifigure, Head Dual Sided Female Black Eyebrows, Double Eyelashes, Red Glasses, Coral Lips, Lopsided Grin / Surprised Open Mouth Pattern",2024,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3808","https://www.bricklink.com/catalogItemIn.asp?P=3626pb3808&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3808#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb3808&ColorID=3","#f3d000"
"437",695,"3626pb3725","Minifigure, Head Dual Sided Female Black Eyebrows, Eyelashes and Glasses, Open Mouth Grin with Teeth and Red Tongue / Eyes Closed Pattern",2024,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3725","https://www.bricklink.com/catalogItemIn.asp?P=3626pb3725&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3725#T=C","Medium Tan",241,"https://www.bricklink.com/catalogPG.asp?P=3626pb3725&ColorID=241","#d9c594"
"438",696,"3626pb3659","Minifigure, Head Dual Sided Female Black Eyebrows, Eyelashes, Dark Brown Lips, Bright Light Orange Headband, Grin / Angry Bared Teeth Pattern",2024,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3659","https://www.bricklink.com/catalogItemIn.asp?P=3626pb3659&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3659#T=C","Reddish Brown",88,"https://www.bricklink.com/catalogPG.asp?P=3626pb3659&ColorID=88","#843419"
"439",699,"3626pb3527","Minifigure, Head Dual Sided Female Black Eyebrows, Eyelashes, Red Lips, Dark Green Headband, Grin / Angry Bared Teeth Pattern",2024,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3527","https://www.bricklink.com/catalogItemIn.asp?P=3626pb3527&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3527#T=C","Light Nougat",90,"https://www.bricklink.com/catalogPG.asp?P=3626pb3527&ColorID=90","#faccae"
