"","ID","Name","Year","Parts","Sets","link"
"31","169","Sienna","2024 - 2025","33","18","https://www.bricklink.com/catalogList.asp?v=2&colorID=169"
"32","160","Fabuland Orange","1983 - 1987","2","3","https://www.bricklink.com/catalogList.asp?v=2&colorID=160"
"33","29","Earth Orange","1982 - 2005","44","85","https://www.bricklink.com/catalogList.asp?v=2&colorID=29"
"34","68","Dark Orange","1994 - 2025","960","2267","https://www.bricklink.com/catalogList.asp?v=2&colorID=68"
"35","27","Rust","1979 - 2005","5","16","https://www.bricklink.com/catalogList.asp?v=2&colorID=27"
"36","165","Neon Orange","?","","","https://www.bricklink.com/catalogList.asp?v=2&colorID=165"
"37","4","Orange","1998 - 2025","2403","4219","https://www.bricklink.com/catalogList.asp?v=2&colorID=4"
"38","31","Medium Orange","1950 - 2007","130","114","https://www.bricklink.com/catalogList.asp?v=2&colorID=31"
"39","32","Light Orange","1998 - 2004","17","17","https://www.bricklink.com/catalogList.asp?v=2&colorID=32"
"40","110","Bright Light Orange","2003 - 2025","1539","2303","https://www.bricklink.com/catalogList.asp?v=2&colorID=110"
"41","172","Warm Yellowish Orange","2004 - 2004","1","1","https://www.bricklink.com/catalogList.asp?v=2&colorID=172"
"42","96","Very Light Orange","2000 - 2000","1","2","https://www.bricklink.com/catalogList.asp?v=2&colorID=96"
"43","161","Dark Yellow","2004 - 2005","5","5","https://www.bricklink.com/catalogList.asp?v=2&colorID=161"
"44","173","Ochre Yellow","?","","","https://www.bricklink.com/catalogList.asp?v=2&colorID=173"
"45","3","Yellow","1949 - 2025","7200","11393","https://www.bricklink.com/catalogList.asp?v=2&colorID=3"
"46","33","Light Yellow","1994 - 2005","103","71","https://www.bricklink.com/catalogList.asp?v=2&colorID=33"
"47","103","Bright Light Yellow","2004 - 2025","663","1233","https://www.bricklink.com/catalogList.asp?v=2&colorID=103"
"48","236","Neon Yellow","2022 - 2025","165","138","https://www.bricklink.com/catalogList.asp?v=2&colorID=236"
"49","171","Lemon","1992 - 1992","3","1","https://www.bricklink.com/catalogList.asp?v=2&colorID=171"
"50","166","Neon Green","?","","","https://www.bricklink.com/catalogList.asp?v=2&colorID=166"
"51","35","Light Lime","1998 - 2007","18","16","https://www.bricklink.com/catalogList.asp?v=2&colorID=35"
"52","158","Yellowish Green","2012 - 2025","273","466","https://www.bricklink.com/catalogList.asp?v=2&colorID=158"
"53","76","Medium Lime","1998 - 2005","68","43","https://www.bricklink.com/catalogList.asp?v=2&colorID=76"
"54","34","Lime","1998 - 2025","1970","3273","https://www.bricklink.com/catalogList.asp?v=2&colorID=34"
"55","248","Fabuland Lime","1982 - 1986","9","5","https://www.bricklink.com/catalogList.asp?v=2&colorID=248"
"56","155","Olive Green","2012 - 2025","695","664","https://www.bricklink.com/catalogList.asp?v=2&colorID=155"
"57","242","Dark Olive Green","?","","","https://www.bricklink.com/catalogList.asp?v=2&colorID=242"
"58","80","Dark Green","1961 - 2025","1086","1408","https://www.bricklink.com/catalogList.asp?v=2&colorID=80"
"59","6","Green","1949 - 2025","2234","5983","https://www.bricklink.com/catalogList.asp?v=2&colorID=6"
"60","36","Bright Green","1950 - 2025","914","2596","https://www.bricklink.com/catalogList.asp?v=2&colorID=36"
"61","37","Medium Green","1950 - 2004","124","108","https://www.bricklink.com/catalogList.asp?v=2&colorID=37"
"62","38","Light Green","1992 - 2005","64","57","https://www.bricklink.com/catalogList.asp?v=2&colorID=38"
"63","48","Sand Green","1957 - 2025","788","1024","https://www.bricklink.com/catalogList.asp?v=2&colorID=48"
"64","39","Dark Turquoise","1998 - 2025","871","1202","https://www.bricklink.com/catalogList.asp?v=2&colorID=39"
