"","category","link","num_pages"
"301","Town","https://www.bricklink.com/catalogList.asp?pg=24&catType=M&catString=67",37
"302","Town","https://www.bricklink.com/catalogList.asp?pg=25&catType=M&catString=67",37
"303","Town","https://www.bricklink.com/catalogList.asp?pg=26&catType=M&catString=67",37
"304","Town","https://www.bricklink.com/catalogList.asp?pg=27&catType=M&catString=67",37
"305","Town","https://www.bricklink.com/catalogList.asp?pg=28&catType=M&catString=67",37
"306","Town","https://www.bricklink.com/catalogList.asp?pg=29&catType=M&catString=67",37
"307","Town","https://www.bricklink.com/catalogList.asp?pg=30&catType=M&catString=67",37
"308","Town","https://www.bricklink.com/catalogList.asp?pg=31&catType=M&catString=67",37
"309","Town","https://www.bricklink.com/catalogList.asp?pg=32&catType=M&catString=67",37
"310","Town","https://www.bricklink.com/catalogList.asp?pg=33&catType=M&catString=67",37
"311","Town","https://www.bricklink.com/catalogList.asp?pg=34&catType=M&catString=67",37
"312","Town","https://www.bricklink.com/catalogList.asp?pg=35&catType=M&catString=67",37
"313","Town","https://www.bricklink.com/catalogList.asp?pg=36&catType=M&catString=67",37
"314","Town","https://www.bricklink.com/catalogList.asp?pg=37&catType=M&catString=67",37
"315","Toy Story","https://www.bricklink.com/catalogList.asp?catType=M&catString=732",1
"316","Train","https://www.bricklink.com/catalogList.asp?catType=M&catString=124",2
"317","Train","https://www.bricklink.com/catalogList.asp?pg=2&catType=M&catString=124",2
"318","Trolls World Tour","https://www.bricklink.com/catalogList.asp?catType=M&catString=1069",1
"319","Ultra Agents","https://www.bricklink.com/catalogList.asp?catType=M&catString=815",1
