item_number,description,color,gender,age,emotion
3626cpb1681,"Minifigure, Head Dual Sided Black Eyebrows and Cheek Lines, Left Eyebrow Raised / Black Glasses and Headset with Microphone Pattern",Light Nougat,neutral,young adult,neutral
3626cpb1681,"Minifigure, Head Dual Sided Black Eyebrows and Cheek Lines, Left Eyebrow Raised / Black Glasses and Headset with Microphone Pattern",Light Nougat,neutral,young adult,neutral
3626cpb2670,"Minifigure, Head Dual Sided White Eyebrows and Beard, Gold Glasses, Happy / Smile with Teeth Pattern",Light Nougat,male,young adult,neutral
3626cpb2670,"Minifigure, Head Dual Sided White Eyebrows and Beard, Gold Glasses, Happy / Smile with Teeth Pattern",Light Nougat,male,young adult,neutral
3626cpb1572,"Minifigure, Head Dual Sided Gray Eyebrows, Beard, Moustache, White Pupils, Slight Smile / Sad Pattern (SW Lor San Tekka)",Light Nougat,male,young adult,neutral
3626cpb1572,"Minifigure, Head Dual Sided Gray Eyebrows, Beard, Moustache, White Pupils, Slight Smile / Sad Pattern (SW Lor San Tekka)",Light Nougat,male,young adult,sad
3626cpb1743,"Minifigure, Head Dual Sided Brown Eyebrows, Moustache, White Pupils, Scared Pattern",Light Nougat,male,young adult,neutral
3626cpb1743,"Minifigure, Head Dual Sided Brown Eyebrows, Moustache, White Pupils, Scared Pattern",Light Nougat,male,young adult,scared
3626cpb2452,"Minifigure, Head Dual Sided Dark Brown Eyebrows, Cheek Lines, Black Chin Strap, Neutral / Scared Pattern (SW Captain Antilles)",Light Nougat,neutral,young adult,neutral
3626cpb2452,"Minifigure, Head Dual Sided Dark Brown Eyebrows, Cheek Lines, Black Chin Strap, Neutral / Scared Pattern (SW Captain Antilles)",Light Nougat,neutral,young adult,scared
3626cpb2584,"Minifigure, Head Dual Sided Gold Rimmed Glasses, Black Moustache Calm / Scared Pattern",Light Nougat,male,young adult,neutral
3626cpb2584,"Minifigure, Head Dual Sided Gold Rimmed Glasses, Black Moustache Calm / Scared Pattern",Light Nougat,male,young adult,scared
3626cpb2255,"Minifigure, Head Dual Sided Light Bluish Gray Eyebrows and Muttonchops, Med. Nougat Age Lines, Neutral / Scared Expression Pattern",Light Nougat,neutral,older adult,neutral
3626cpb2255,"Minifigure, Head Dual Sided Light Bluish Gray Eyebrows and Muttonchops, Med. Nougat Age Lines, Neutral / Scared Expression Pattern",Light Nougat,neutral,older adult,scared
3626cpb1793,"Minifigure, Head Dual Sided PotC Jack Black Moustache, 'X' Shaped Scar, Smile / Scared Pattern",Light Nougat,male,young adult,neutral
3626cpb1793,"Minifigure, Head Dual Sided PotC Jack Black Moustache, 'X' Shaped Scar, Smile / Scared Pattern",Light Nougat,male,young adult,scared
3626cpb0559,"Minifigure, Head Dual Sided PotC Jack Black Moustache, Smile / Scared Pattern",Light Nougat,male,young adult,neutral
3626cpb0559,"Minifigure, Head Dual Sided PotC Jack Black Moustache, Smile / Scared Pattern",Light Nougat,male,young adult,scared
