item_number,description,category,gender,item_link,parts_link,temp,gender2,release_year
cty0204,"Police - City Suit with Blue Tie and Badge, Black Legs, White Short Bill Cap, Smirk and Stubble Beard",Town,male,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0204,https://www.bricklink.com/catalogItemInv.asp?M=cty0204,"NA",male,2011
twn220,"Police - Female Officer, Dark Brown Hair with Bun",Town,female,https://bricklink.com/v2/catalog/catalogitem.page?M=twn220,https://www.bricklink.com/catalogItemInv.asp?M=twn220,"NA",female,2015
cop037,"Police - Sheriff Star and 2 Pockets, Light Gray Legs, White Arms, Black Male Hair",Town,male,https://bricklink.com/v2/catalog/catalogitem.page?M=cop037,https://www.bricklink.com/catalogItemInv.asp?M=cop037,"NA",male,1998
cop016,"Police - Suit with 4 Buttons, Black Legs, Black Male Hair, Life Jacket",Town,male,https://bricklink.com/v2/catalog/catalogitem.page?M=cop016,https://www.bricklink.com/catalogItemInv.asp?M=cop016,"NA",male,1991
cop046,"Police - Suit with 4 Buttons, Black Legs, White Pigtails Hair",Town,female,https://bricklink.com/v2/catalog/catalogitem.page?M=cop046,https://www.bricklink.com/catalogItemInv.asp?M=cop046,"NA",female,1980
cop011,"Police - Suit with Sheriff Star, Black Legs, Black Male Hair",Town,male,https://bricklink.com/v2/catalog/catalogitem.page?M=cop011,https://www.bricklink.com/catalogItemInv.asp?M=cop011,"NA",male,1994
cop032,"Police - Suit with Sheriff Star, Black Legs, Black Male Hair, Life Jacket",Town,male,https://bricklink.com/v2/catalog/catalogitem.page?M=cop032,https://www.bricklink.com/catalogItemInv.asp?M=cop032,"NA",male,1999
cop035,"Police - Suit with Sheriff Star, Light Gray Legs, Black Male Hair",Town,male,https://bricklink.com/v2/catalog/catalogitem.page?M=cop035,https://www.bricklink.com/catalogItemInv.asp?M=cop035,"NA",male,1998
wc009,"Police - World City Patrolman, Dark Blue Shirt with Badge and Radio, Black Legs, Brown Male Hair, Smile",Town,male,https://bricklink.com/v2/catalog/catalogitem.page?M=wc009,https://www.bricklink.com/catalogItemInv.asp?M=wc009,"NA",male,2003
cop024,"Police - Zipper with Sheriff Star, Black Ponytail Hair",Town,female,https://bricklink.com/v2/catalog/catalogitem.page?M=cop024,https://www.bricklink.com/catalogItemInv.asp?M=cop024,"NA",female,1998
trn043,"Police - Zipper with Sheriff Star, Brown Male Hair",Town,male,https://bricklink.com/v2/catalog/catalogitem.page?M=trn043,https://www.bricklink.com/catalogItemInv.asp?M=trn043,"NA",male,1996
cop026,"Police - Zipper with Sheriff Star, White Cap, Female",Town,female,https://bricklink.com/v2/catalog/catalogitem.page?M=cop026,https://www.bricklink.com/catalogItemInv.asp?M=cop026,"NA",female,1999
cop040,"Police - Zipper with Sheriff Star, White Helmet with Police Pattern, Black Visor, Female",Town,female,https://bricklink.com/v2/catalog/catalogitem.page?M=cop040,https://www.bricklink.com/catalogItemInv.asp?M=cop040,"NA",female,2000
cop047,"Police - Zipper with Sheriff Star, White Helmet, Trans-Dark Blue Visor, Female",Town,female,https://bricklink.com/v2/catalog/catalogitem.page?M=cop047,https://www.bricklink.com/catalogItemInv.asp?M=cop047,"NA",female,1999
cop029,"Police - Zipper with Sheriff Star, White Helmet, Trans-Light Blue Visor, Female",Town,female,https://bricklink.com/v2/catalog/catalogitem.page?M=cop029,https://www.bricklink.com/catalogItemInv.asp?M=cop029,"NA",female,1998
cty0716,"Police Officer, Black Cap and Legs, Beard",Town,male,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0716,https://www.bricklink.com/catalogItemInv.asp?M=cty0716,"NA",male,2016
twn406,"Police Officer, Female",Town,female,https://bricklink.com/v2/catalog/catalogitem.page?M=twn406,https://www.bricklink.com/catalogItemInv.asp?M=twn406,"NA",female,2021
cty0936,"Police Officer, Female, Dark Blue Legs, Sunglasses",Town,female,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0936,https://www.bricklink.com/catalogItemInv.asp?M=cty0936,"NA",female,2018
twn404,"Police Officer, Moustache (1940s Era)",Town,male,https://bricklink.com/v2/catalog/catalogitem.page?M=twn404,https://www.bricklink.com/catalogItemInv.asp?M=twn404,"NA",male,2021
cty1003,"Sky Police - Jet Pilot, Female with Neck Bracket (for Jet Pack)",Town,female,https://bricklink.com/v2/catalog/catalogitem.page?M=cty1003,https://www.bricklink.com/catalogItemInv.asp?M=cty1003,"NA",female,2019
cty1000,"Sky Police - Jet Pilot, Female with Neck Bracket (for Parachute)",Town,female,https://bricklink.com/v2/catalog/catalogitem.page?M=cty1000,https://www.bricklink.com/catalogItemInv.asp?M=cty1000,"NA",female,2019
cty0189,"Suit Black, Black Police Hat, Brown Beard Rounded - Tram Driver",Town,male,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0189,https://www.bricklink.com/catalogItemInv.asp?M=cty0189,"NA",male,2010
cty0548,"Swamp Police - Officer Female, Vest",Town,female,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0548,https://www.bricklink.com/catalogItemInv.asp?M=cty0548,"NA",female,2015
