item_id,item_description,bl_part_id,brick_link_color,usd,year,price_usd,brick_link_url,description,is_female,is_male,is_child,is_dual_sided,is_plain,is_nonhuman,type
6075251,"MINI HEAD ""NO. 1436""",17729,Yellow,NA,2015,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=17729,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral
6076154,"MINI HEAD ""NO 1440""",17803,Yellow,NA,2015,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=17803,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral
6079751,"MINI HEAD ""NO.1489""",18198,Yellow,NA,2015,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=18198,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral
6079753,"MINI HEAD ""NO. 1490""",18199,Yellow,NA,2015,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=18199,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral
6081298,"MINI HEAD ""NO.1500""",18292,Yellow,NA,2015,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=18292,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral
6081329,"MINI HEAD ""N0.1502""",18296,Yellow,NA,2015,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=18296,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral
6081335,"MINI HEAD ""NO.1501""",18299,Yellow,NA,2015,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=18299,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral
6081345,"MINI HEAD ""NO.1503""",18302,Yellow,NA,2015,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=18302,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral
6081401,"MINI HEAD ""NO.1504""",18304,Yellow,NA,2015,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=18304,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral
6081406,"MINI HEAD ""NO.1505""",18307,Yellow,NA,2015,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=18307,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral
6081908,"MINI HEAD ""NO. 1508""",18339,Yellow,NA,2015,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=18339,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral
6092676,"MINI HEAD ""NO 1537""",18886,Yellow,NA,2015,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=18886,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral
6100203,"MINI HEAD ""NO. 1580""",19541,Yellow,NA,2015,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=19541,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral
6100217,"MINI HEAD ""NO. 1578""",19542,Yellow,NA,2015,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=19542,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral
6100222,"MINI HEAD ""NO. 1579""",19546,Yellow,NA,2015,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=19546,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral
6100238,"MINI HEAD ""NO. 1581""",19547,Yellow,NA,2015,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=19547,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral
