item_id,item_description,bl_part_id,brick_link_color,usd,year,price_usd,brick_link_url,,is_female,is_male,is_child,is_dual_sided,is_plain,is_nonhuman,type,description2,na_description,description3,search_link
6112633,"MINI HEAD ""NO. 1666""",21027,Yellow,$0.05,2017,0.04,https://www.bricklink.com/v2/catalog/catalogitem.page?P=21027,"Minifigure, Head Female Glasses with Silver Frames, Brown Eyebrows, Eyelashes, Pink Lips, Open Mouth Smile Pattern - Hollow Stud",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral,NA,FALSE,NA,https://www.bricklink.com/v2/search.page?q=6112633#T=A
6112633,"MINI HEAD ""NO. 1666""",21027,Yellow,$0.06,2018,0.06,https://www.bricklink.com/v2/catalog/catalogitem.page?P=21027,"Minifigure, Head Female Glasses with Silver Frames, Brown Eyebrows, Eyelashes, Pink Lips, Open Mouth Smile Pattern - Hollow Stud",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral,NA,FALSE,NA,https://www.bricklink.com/v2/search.page?q=6112633#T=A
6112633,"MINI HEAD ""NO. 1666""",NA,Yellow,NA,2019,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=NA,"Minifigure, Head Female Glasses with Silver Frames, Brown Eyebrows, Eyelashes, Pink Lips, Open Mouth Smile Pattern - Hollow Stud",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral,NA,FALSE,NA,https://www.bricklink.com/v2/search.page?q=6112633#T=A
6112633,"MINI HEAD ""NO. 1666""",NA,Yellow,NA,2020,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=NA,"Minifigure, Head Female Glasses with Silver Frames, Brown Eyebrows, Eyelashes, Pink Lips, Open Mouth Smile Pattern - Hollow Stud",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral,NA,FALSE,NA,https://www.bricklink.com/v2/search.page?q=6112633#T=A
6115836,"MINI HEAD ""NO. 1684""",21339,Yellow,$0.05,2017,0.04,https://www.bricklink.com/v2/catalog/catalogitem.page?P=21339,"Minifigure, Head Rosy Cheeks, Open Mouth, Black Eyebrows Pattern (Caroler) - Hollow Stud",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral,NA,FALSE,NA,https://www.bricklink.com/v2/search.page?q=6115836#T=A
6115839,"MINI HEAD ""NO. 1685""",21342,Yellow,$0.05,2017,0.04,https://www.bricklink.com/v2/catalog/catalogitem.page?P=21342,"Minifigure, Head Dual Sided Female Rosy Cheeks, Brown Eyebrows, Pink Lips, Open Mouth / Closed Mouth Smile Pattern (Caroler) - Hollow Stud",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral,NA,FALSE,NA,https://www.bricklink.com/v2/search.page?q=6115839#T=A
6116560,"MINI HEAD ""NO. 1694""",21453,Yellow,NA,2016,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=21453,"Minifigure, Head Beard Stubble Dark Red, Reddish Brown Eye Patch with Copper Eyepiece Pattern - Hollow Stud",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral,NA,FALSE,NA,https://www.bricklink.com/v2/search.page?q=6116560#T=A
6116560,"MINI HEAD ""NO. 1694""",21453,Yellow,$0.05,2017,0.04,https://www.bricklink.com/v2/catalog/catalogitem.page?P=21453,"Minifigure, Head Beard Stubble Dark Red, Reddish Brown Eye Patch with Copper Eyepiece Pattern - Hollow Stud",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral,NA,FALSE,NA,https://www.bricklink.com/v2/search.page?q=6116560#T=A
6119363,MINI HEAD NO.1712,21818,Medium Nougat,NA,2016,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=21818,"Minifigure, Head Dual Sided Black Eyebrows, Stubble Beard, White Pupils, Open Mouth Scared / Crooked Grin, Eyebrow Raised Pattern - Hollow Stud",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral,NA,FALSE,NA,https://www.bricklink.com/v2/search.page?q=6119363#T=A
6123705,"MINI HEAD ""NO. 1761""",23093,Yellow,NA,2015,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=23093,"Minifigure, Head Dual Sided Female Red Lips, Crow's Feet and Beauty Mark, Smile / Annoyed with Short Frown Lines Pattern - Hollow Stud",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral,NA,FALSE,NA,https://www.bricklink.com/v2/search.page?q=6123705#T=A
