Image,Item ID,Item Description,"Color
ID","Color
Name","Design
ID","Color
Name",Price,Savings,DKK ,USD,"# of
Buyers","Total
Qty",Alice, Bob ,Daniel F, Dave I ,Dave S,David F x2,Jordan x2,Kelli S,Michael,Nicole/Shawn,RJ,Sean E,Tom,These will all be calculated fields; no data entry in this space
,6189061,ARCH 1X12X3,26,Black,18838,Black,,,1.68,$0.269,0,0,,,,,,,,,,,,,,
,6031056,ARCH 1X4X2,194,Med. St-Grey,6182,Light Bluish Gray,,,0.48,$0.077,0,0,,,,,,,,,,,,,,
,6031057,ARCH 1X4X2,5,Brick-Yel,6182,Tan,,,0.48,$0.077,0,0,,,,,,,,,,,,,,
,6031098,ARCH 1X4X2,1,White,6182,White,,,0.48,$0.077,0,0,,,,,,,,,,,,,,
,6102580,ARCH 1X4X2,226,Cool Yel.,6182,Bright Light Yellow,,,0.56,$0.090,0,0,,,,,,,,,,,,,,
,6186137,ARCH 1X4X2,102,Md.Blue,6182,Medium Blue,,,0.56,$0.090,0,0,,,,,,,,,,,,,,
,6174192,ARCH 1X4X2,312,M. Nougat,6182,Medium Dark Flesh,,,0.48,$0.077,0,0,,,,,,,,,,,,,,
,6186338,ARCH 1X6X2,194,Med. St-Grey,24434,Light Bluish Gray,,,0.96,$0.154,0,0,,,,,,,,,,,,,,
,4586275,ARCH BRICK 3X3X2,1,White,88293,White,,,0.80,$0.128,0,0,,,,,,,,,,,,,,
,4609397,ARCH BRICK 3X3X2,26,Black,88293,Black,,,0.88,$0.141,0,0,,,,,,,,,,,,,,
,6018581,ARCH BRICK 3X3X2,199,Dk. St. Grey,88293,Dark Bluish Gray,,,0.80,$0.128,0,0,,,,,,,,,,,,,,
,6185596,ARCH BRICK 3X3X2,21,Br.Red,88293,Red,,,0.80,$0.128,0,0,,,,,,,,,,,,,,
,6173013,ARCH BRICK 3X3X2,191,Fl. Yell-Ora,88293,Bright Light Orange,,,0.88,$0.141,0,0,,,,,,,,,,,,,,
,6025219,ARCH BRICK 6x6x2,26,Black,87559,Black,,,2.24,$0.358,0,0,,,,,,,,,,,,,,
,6151391,ARMOR NO. 16,315,Silver Met.,23983,Flat Silver,,,0.32,$0.051,0,0,,,,,,,,,,,,,,
,6195509,"ARMOUR, NO. 16",316,Titan. Metal.,23983,Pearl Dark Gray,,,0.40,$0.064,0,0,,,,,,,,,,,,,,
,6197003,"ARMOUR, NO. 16",23,Br.Blue,23983,Blue,,,0.40,$0.064,0,0,,,,,,,,,,,,,,
,6054526,ARROW 8M FOR SPRING SHOOTER,41,Tr. Red,15303,Trans-Red,,,0.32,$0.051,0,0,,,,,,,,,,,,,,
,6062599,ARROW 8M FOR SPRING SHOOTER,311,Tr. Br. Green,15303,Trans-Bright Green*,,,0.32,$0.051,0,0,,,,,,,,,,,,,,
,6065898,ARROW 8M FOR SPRING SHOOTER,43,Tr. Blue,15303,Trans-Dark Blue,,,0.32,$0.051,0,0,,,,,,,,,,,,,,
,6072635,ARROW 8M FOR SPRING SHOOTER,182,Tr. Br. Orange,15303,Trans-Orange,,,0.32,$0.051,0,0,,,,,,,,,,,,,,
,6124908,ARROW 8M FOR SPRING SHOOTER,47,Tr. Fl.Redora,15303,Trans-Neon Orange,,,0.32,$0.051,0,0,,,,,,,,,,,,,,
,6198026,ARROW 8M FOR SPRING SHOOTER,212,Lgh. Roy. Blue,15303,Bright Light Blue,,,0.32,$0.051,0,0,,,,,,,,,,,,,,
,6182245,ARROW 8M FOR SPRING SHOOTER,42,Tr. L.Blue,15303,Trans-Light Blue,,,0.32,$0.051,0,0,,,,,,,,,,,,,,
,4532220,ASSEMBLY ELEMENT Ø3.2,26,Black,2566,Black,,,0.24,$0.038,0,0,,,,,,,,,,,,,,
