image,item_number,color_code,description,color,gender,age,emotion
,3626cpb1642,90,"Minifigure, Head Dual Sided Black Eyebrows, Black and White Goatee, Wrinkles and Cheek Lines, Neutral / Angry Pattern",Light Nougat,male,older adult,angry
,3626cpb1706,2,"Minifigure, Head Dual Sided Black Eyebrows, Eyelashes, Dark Orange Cheek Lines Neutral / Open Mouth Scowl Pattern (SW Cdr. Sato)",Light Nougat,male,young adult,neutral
,3626cpb1706,2,"Minifigure, Head Dual Sided Black Eyebrows, Eyelashes, Dark Orange Cheek Lines Neutral / Open Mouth Scowl Pattern (SW Cdr. Sato)",Light Nougat,male,young adult,angry
,3626cpb1924,90,"Minifigure, Head Dual Sided Black Eyebrows, Reddish Brown Beard, Neutral / Angry with White Eyes Pattern",Light Nougat,male,young adult,neutral
,3626cpb1924,90,"Minifigure, Head Dual Sided Black Eyebrows, Reddish Brown Beard, Neutral / Angry with White Eyes Pattern",Light Nougat,male,young adult,angry
,3626cpb1011,90,"Minifigure, Head Dual Sided Brown Eyebrows, Black Eyes with Pupils, Wrinkles, Sad / Scared Pattern (SW Anakin)",Light Nougat,male,older adult,neutral
,3626cpb1011,90,"Minifigure, Head Dual Sided Brown Eyebrows, Black Eyes with Pupils, Wrinkles, Sad / Scared Pattern (SW Anakin)",Light Nougat,male,older adult,angry
,3626cpb2108,90,"Minifigure, Head Dual Sided Brown Eyebrows, Cheek Lines, Chin Dimple, Smile / Angry Pattern",Light Nougat,neutral,young adult,neutral
,3626cpb2108,90,"Minifigure, Head Dual Sided Brown Eyebrows, Cheek Lines, Chin Dimple, Smile / Angry Pattern",Light Nougat,neutral,young adult,angry
,3626bpb0709,90,"Minifigure, Head Dual Sided Bushy Black Eyebrows and Long Thick Sideburns, Frown / Angry Pattern",Light Nougat,male,young adult,neutral
,3626bpb0709,90,"Minifigure, Head Dual Sided Bushy Black Eyebrows and Long Thick Sideburns, Frown / Angry Pattern",Light Nougat,male,young adult,angry
,3626cpb2414,90,"Minifigure, Head Dual Sided Dark Brown Eyebrows and Beard, Neutral / Fierce Pattern",Light Nougat,male,young adult,neutral
,3626cpb2414,90,"Minifigure, Head Dual Sided Dark Brown Eyebrows and Beard, Neutral / Fierce Pattern",Light Nougat,male,young adult,angry
,3626cpb0928,90,"Minifigure, Head Dual Sided Glasses with Gold and White Goggles and Cheek Lines, Mouth Closed / Bared Teeth Pattern",Light Nougat,male,young adult,neutral
,3626cpb0928,90,"Minifigure, Head Dual Sided Glasses with Gold and White Goggles and Cheek Lines, Mouth Closed / Bared Teeth Pattern",Light Nougat,male,young adult,angry
,3626cpb1382,90,"Minifigure, Head Dual Sided Goatee, Black Eyebrows, Bags under Eyes, Closed Mouth / Open Mouth with Teeth Pattern",Light Nougat,male,young adult,neutral
,3626cpb1382,90,"Minifigure, Head Dual Sided Goatee, Black Eyebrows, Bags under Eyes, Closed Mouth / Open Mouth with Teeth Pattern",Light Nougat,male,young adult,angry
