item_number,description,category
twn135,"Black Vest with Blue Striped Tie, Light Bluish Gray Legs, White Arms, Dark Brown Hair, Brown Beard Rounded",Town
cty0395,"Black Vest with Blue Striped Tie, Light Bluish Gray Legs, White Arms, Dark Brown Short Tousled Hair, Crooked Smile",Town
twn041,"Black Vest with Blue Striped Tie, Light Bluish Gray Legs, White Arms, Light Bluish Gray Male Hair, Smile",Town
twn048,"Black Vest with Blue Striped Tie, Light Bluish Gray Legs, White Arms, Reddish Brown Male Hair, Beard and Glasses",Town
twn190,"Black Vest with Blue Striped Tie, White Legs, Dark Brown Short Tousled Hair",Town
bk001,Blacktron Racer,Town
cty0281,"Blouse with Buttons, Belt and Necklace, Red Legs, Dark Brown Hair Ponytail Long French Braided",Town
par008,"Blue Flowers - Pink Legs, Brown Female Hair",Town
par003,"Blue Flowers - White Legs, Black Ponytail Hair",Town
par053,"Blue Flowers - White Legs, Black Ponytail Hair, Life Jacket",Town
par004,"Blue Flowers - Yellow Legs, Black Ponytail Hair",Town
par054,"Blue Flowers - Yellow Legs, Brown Ponytail Hair",Town
par006,"Blue Flowers - Yellow Legs, Red Ponytail Hair",Town
par005,"Blue Flowers - Yellow Legs, White Cap",Town
cty0747,"Blue Jacket over Dark Red V-Neck Sweater, Dark Bluish Gray Legs, Black Short Tousled Hair, Silver Sunglasses",Town
cty0511,"Blue Jacket over Dark Red V-Neck Sweater, Dark Tan Legs",Town
cty0461,"Blue Jacket over Dark Red V-Neck Sweater, Sand Blue Legs, Red Cap with Hole, Silver Sunglasses",Town
cty0546,"Blue Jacket over Dark Red V-Neck Sweater, Sand Blue Legs, Red Cap with Hole, Smirk and Stubble Beard",Town
cty0889,"Blue Jacket with Diagonal Lower Pockets and Orange Stripes, Blue Legs, Red Construction Helmet",Town
cty1161,"Blue Jacket with Diagonal Lower Pockets and Orange Stripes, Orange Legs, Red Construction Helmet",Town
cty0123,"Blue Jacket with Pockets and Orange Stripes, Blue Legs, Beard, Yellow Construction Helmet (Undetermined Eyebrows)",Town
cty0123a,"Blue Jacket with Pockets and Orange Stripes, Blue Legs, Beard, Yellow Construction Helmet, Black Eyebrows",Town
cty0123b,"Blue Jacket with Pockets and Orange Stripes, Blue Legs, Beard, Yellow Construction Helmet, Reddish Brown Eyebrows",Town
cty0139,"Blue Jacket with Pockets and Orange Stripes, Blue Legs, Black Male Hair",Town
cty0290,"Blue Jacket with Pockets and Orange Stripes, Blue Legs, Black Short Bill Cap, Gray Beard",Town
cty0556,"Blue Jacket with Pockets and Orange Stripes, Blue Legs, Blue Cap with Hole, Brown Moustache and Goatee",Town
cty0401,"Blue Jacket with Pockets and Orange Stripes, Blue Legs, Blue Cap with Hole, Headphones, Safety Goggles",Town
cty0148,"Blue Jacket with Pockets and Orange Stripes, Blue Legs, Blue Cap, Silver Sunglasses, Eyebrows and Thin Grin",Town
cty0258,"Blue Jacket with Pockets and Orange Stripes, Blue Legs, Blue Short Bill Cap, Crooked Smile",Town
cty0224,"Blue Jacket with Pockets and Orange Stripes, Blue Legs, Blue Short Bill Cap, Glasses, Open Smile",Town
cty0140,"Blue Jacket with Pockets and Orange Stripes, Blue Legs, Dark Orange Short Tousled Hair, Brown Eyebrows, Glasses",Town
cty0295,"Blue Jacket with Pockets and Orange Stripes, Blue Legs, Lime Short Bill Cap, Open Grin",Town
cty0388,"Blue Jacket with Pockets and Orange Stripes, Blue Legs, Lime Short Bill Cap, Thin Grin with Teeth",Town
cty0227,"Blue Jacket with Pockets and Orange Stripes, Blue Legs, Orange Short Bill Cap, Silver Sunglasses",Town
cty0807,"Blue Jacket with Pockets and Orange Stripes, Blue Legs, Red Cap with Hole",Town
cty0420,"Blue Jacket with Pockets and Orange Stripes, Blue Legs, Red Cap with Hole, Headphones",Town
con012,"Blue Jacket with Pockets and Orange Stripes, Blue Legs, Red Construction Helmet, Black Angular Beard",Town
con009,"Blue Jacket with Pockets and Orange Stripes, Blue Legs, Red Construction Helmet, Brown Moustache and Goatee",Town
con010,"Blue Jacket with Pockets and Orange Stripes, Blue Legs, Red Construction Helmet, Orange Sunglasses",Town
cty0471,"Blue Jacket with Pockets and Orange Stripes, Blue Legs, Red Construction Helmet, Safety Goggles",Town
cty0925,"Blue Jacket with Pockets and Orange Stripes, Blue Legs, Red Construction Helmet, Thin Grin",Town
cty0426,"Blue Jacket with Pockets and Orange Stripes, Blue Legs, White Hat, Gray Beard",Town
twn124,"Blue Jacket with Pockets and Orange Stripes, Dark Blue Legs, Black Hat",Town
cty0500a,"Blue Jacket with Pockets and Orange Stripes, Dark Blue Legs, Red Cap with Hole, Sunglasses with Back Print",Town
cty0500,"Blue Jacket with Pockets and Orange Stripes, Dark Blue Legs, Red Cap with Hole, Sunglasses, NO Back Print",Town
cty0150,"Blue Jacket with Pockets and Orange Stripes, Dark Bluish Gray Legs, Black Cap, Silver Sunglasses",Town
cty0152,"Blue Jacket with Pockets and Orange Stripes, Dark Bluish Gray Legs, Black Helmet, Gray Beard",Town
cty0151,"Blue Jacket with Pockets and Orange Stripes, Dark Bluish Gray Legs, Black Helmet, Orange Sunglasses",Town
cty0141,"Blue Jacket with Pockets and Orange Stripes, Dark Bluish Gray Legs, Blue Cap, Beard Around Mouth",Town
cty0576,"Blue Jacket with Pockets and Orange Stripes, Dark Bluish Gray Legs, Dark Blue Cap with Hole, Black Beard",Town
cty0162,"Blue Jacket with Pockets and Orange Stripes, Green Legs, Lime Short Bill Cap",Town
cty0533,"Blue Jacket with Pockets and Orange Stripes, Red Legs with Black Hips, Sweat Drops",Town
cty0248,"Blue Jacket with Pockets and Orange Stripes, Red Legs, Red Short Bill Cap",Town
cty0610,"Blue Jacket with Pockets and Orange Stripes, Sand Blue Legs, Blue Short Bill Cap, Beard",Town
cty1229,"BMX Rider - Male, Red Jacket, Blue Medium Legs, Dark Blue Dirt Bike Helmet",Town
boat001,Boat Admiral with Gold Anchor Pattern,Town
boat004,"Boat Admiral with Gold Anchor Pattern, Life Jacket",Town
boat012,"Boat Captain with Blue Tie and Anchor on Pocket, Black Hat, Brown Beard Rounded",Town
boat009,"Boat Captain with Blue Tie and Anchor on Pocket, White Hat",Town
boat005,"Boat Worker - Torso with Anchor, Black Legs, Red Construction Helmet, Life Jacket",Town
boat003,"Boat Worker - Torso with Anchor, Black Legs, White Construction Helmet",Town
boat006,"Boat Worker - Torso with Anchor, Blue Legs, White Construction Helmet, Life Jacket",Town
boat007,"Boat Worker - Torso with Anchor, Blue Legs, White Hat, Life Jacket",Town
twn308,Bodybuilder,Town
twn309,"Boxer, Wavy Reddish Brown Hair",Town
cty1214,"Boy - Blue Overalls over V-Neck Shirt, Blue Short Legs, Blue Cap with Tiny Yellow Propeller",Town
cty1393,"Boy - Bright Light Blue Denim Jacket, Dark Bluish Gray Short Legs, Blue Hair, Reddish Brown Backpack",Town
twn162,"Boy - Classic Space Minifigure Floating Pattern, Blue Short Legs, Black Tousled Hair",Town
twn296,"Boy - Classic Space Minifigure Floating Pattern, Dark Blue Legs, Tan Tousled Hair",Town
twn302,"Boy - Classic Space Shirt with Red Sleeves, Blue Short Legs, Blue Cap",Town
cty1394,"Boy - Coral Shirt with Video Game Controller, White Medium Legs, Black Hair",Town
cty1271,"Boy - Dark Azure Hoodie with Green Striped Shirt, Dark Blue Short Legs, Dark Orange Hair, Freckles, Small Open Smile with Tongue",Town
twn426,"Boy - Dark Blue Banana Shirt, Red Short Legs, Crooked Dark Blue Cap",Town
