parts_id,count,head_link,num_minifigs,type,num_outside,perc_not,has_outside,minifigs_link
3626cpb2051,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2051,1,male,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb2051&in=M
3626cpb2054,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2054,12,male,11,92,TRUE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb2054&in=M
3626cpb2062,2,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2062,2,female,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb2062&in=M
3626cpb2063,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2063,1,male,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb2063&in=M
3626cpb2070,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2070,1,male,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb2070&in=M
3626cpb2071,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2071,1,male,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb2071&in=M
3626cpb2205,5,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2205,7,male,2,28.999999999999996,TRUE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb2205&in=M
3626cpb2222,2,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2222,2,neutral,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb2222&in=M
3626cpb2234,2,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2234,2,female,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb2234&in=M
3626cpb2241,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2241,1,female,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb2241&in=M
3626cpb2242,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2242,1,male,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb2242&in=M
3626cpb2244,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2244,1,neutral,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb2244&in=M
3626cpb2245,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2245,1,female,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb2245&in=M
3626cpb2249,20,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2249,20,female,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb2249&in=M
3626cpb2290,2,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2290,2,neutral,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb2290&in=M
3626cpb2381,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2381,16,female,15,94,TRUE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb2381&in=M
3626cpb2407,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2407,1,neutral,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb2407&in=M
3626cpb2424,4,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2424,4,male,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb2424&in=M
3626cpb2425,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2425,1,female,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb2425&in=M
3626cpb2445,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2445,1,neutral,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb2445&in=M
3626cpb2446,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2446,1,neutral,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb2446&in=M
3626cpb2529,2,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2529,2,neutral,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb2529&in=M
3626cpb2534,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2534,6,male,5,83,TRUE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb2534&in=M
3626cpb2541,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2541,1,neutral,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb2541&in=M
3626cpb2549,2,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2549,2,neutral,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb2549&in=M
3626cpb2553,2,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2553,2,neutral,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb2553&in=M
3626cpb2554,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2554,1,neutral,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb2554&in=M
3626cpb2555,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2555,1,neutral,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb2555&in=M
3626cpb2560,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2560,1,neutral,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb2560&in=M
