image,item_number,description,culture_represented,set_id,set_description,category,gender,year,inspiration,link
,adv001,Achu,South American,5986-1,Amazon Ancient Ruins,Adventurers: Jungle,male,1999,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?S=5986-1#T=S&O={%22iconly%22:0}
,adv008,Gabarros,South American,5986-1,Amazon Ancient Ruins,Adventurers: Jungle,male,1999,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=adv008#T=S&O={%22iconly%22:0}
,hol139,"Daughter, Chinese New Year's Eve Dinner",Chinese,80101-1,Chinese New Year's Eve Dinner,Holiday & Event: Chinese New Year,female,2019,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=hol139#T=S&O={%22iconly%22:0}
,hol142,"Father, Chinese New Year's Eve Dinner",Chinese,80101-1,Chinese New Year's Eve Dinner,Holiday & Event: Chinese New Year,male,2019,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=hol142#T=S&O={%22iconly%22:0}
,hol140,"Grandfather, Chinese New Year's Eve Dinner",Chinese,80101-1,Chinese New Year's Eve Dinner,Holiday & Event: Chinese New Year,male,2019,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=hol140#T=S&O={%22iconly%22:0}
,hol141,"Grandmother, Chinese New Year's Eve Dinner",Chinese,80101-1,Chinese New Year's Eve Dinner,Holiday & Event: Chinese New Year,female,2019,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=hol141#T=S&O={%22iconly%22:0}
,hol138,"Mother, Chinese New Year's Eve Dinner",Chinese,80101-1,Chinese New Year's Eve Dinner,Holiday & Event: Chinese New Year,female,2019,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=hol138#T=S&O={%22iconly%22:0}
,hol143,"Son, Chinese New Year's Eve Dinner",Chinese,80101-1,Chinese New Year's Eve Dinner,Holiday & Event: Chinese New Year,male,2019,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=hol143#T=S&O={%22iconly%22:0}
,adv023,Señor Palomar (Senor Palomar),South American,5986-1,Amazon Ancient Ruins,Adventurers: Jungle,male,1999,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=adv023#T=S&O={%22iconly%22:0}
,adv027,Babloo,South Asian,7414-1,Elephant Caravan,Adventurers: Orient Expedition,male,2003,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=adv027#T=S&O={%22iconly%22:0}
,adv046,Dragon Fortress Guard - Conical Helmet,Chinese,"7419-1, 7416-1","Dragon Fortress, Emperor's Ship",Adventurers: Orient Expedition,male,2003,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=adv046#T=S&O={%22iconly%22:0}
,hol189,"Child Girl, Black Hair, Red Scarf, Dark Pink Puffy Jacket, White Shirt, Medium Blue Short Legs",Chinese,80105-1,Chinese New Year Temple Fair,Holiday & Event: Chinese New Year,female,2020,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=hol189#T=S&O={%22iconly%22:0}
,hol183,"Food Vendor, Red Cap and Apron, Bright Light Orange Chinese Logogram '烧烤' (Barbecue)",Chinese,80105-1,Chinese New Year Temple Fair,Holiday & Event: Chinese New Year,male,2020,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=hol183#T=S&O={%22iconly%22:0}
,hol187,"Man, Dark Red Jacket with Bright Light Blue Shirt, Dark Tan Legs, Red Scarf, Black Smooth Hair, Glasses",Chinese,80105-1,Chinese New Year Temple Fair,Holiday & Event: Chinese New Year,male,2020,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=hol187#T=S&O={%22iconly%22:0}
