item_number,description,category,item_link
aqu013a,Stingray 2 with Light Gray Flippers,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu013a
aqu014,Stingray 3,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu014
aqu014a,Stingray 3 with Light Gray Flippers,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu014a
atl015,Atlantis Barracuda Guardian,Atlantis,https://bricklink.com/v2/catalog/catalogitem.page?M=atl015
atl001,Atlantis Diver 1 - Axel,Atlantis,https://bricklink.com/v2/catalog/catalogitem.page?M=atl001
atl010,Atlantis Diver 1 - Axel - With Horizontal Lights,Atlantis,https://bricklink.com/v2/catalog/catalogitem.page?M=atl010
atl012,Atlantis Diver 1 - Axel - With Vertical Lights,Atlantis,https://bricklink.com/v2/catalog/catalogitem.page?M=atl012
atl016,Atlantis Diver 1 - Axel - With Yellow Flippers and Trans-Yellow Visor,Atlantis,https://bricklink.com/v2/catalog/catalogitem.page?M=atl016
atl002a,Atlantis Diver 2 - Bobby,Atlantis,https://bricklink.com/v2/catalog/catalogitem.page?M=atl002a
atl002,Atlantis Diver 2 - Bobby with Flippers,Atlantis,https://bricklink.com/v2/catalog/catalogitem.page?M=atl002
atl005,Atlantis Diver 3 - Ace Speedman,Atlantis,https://bricklink.com/v2/catalog/catalogitem.page?M=atl005
atl024,"Atlantis Diver 3 - Ace Speedman - With Lights, Propeller, Yellow Flippers and Trans-Yellow Visor",Atlantis,https://bricklink.com/v2/catalog/catalogitem.page?M=atl024
atl011,Atlantis Diver 3 - Ace Speedman - With Propeller,Atlantis,https://bricklink.com/v2/catalog/catalogitem.page?M=atl011
atl006a,Atlantis Diver 4 - Lance Spears,Atlantis,https://bricklink.com/v2/catalog/catalogitem.page?M=atl006a
atl018,Atlantis Diver 4 - Lance Spears - With Yellow Flippers and Trans-Yellow Visor,Atlantis,https://bricklink.com/v2/catalog/catalogitem.page?M=atl018
atl006,Atlantis Diver 4 - Lance Spears with Flippers,Atlantis,https://bricklink.com/v2/catalog/catalogitem.page?M=atl006
atl008,Atlantis Diver 5 - Samantha Rhodes,Atlantis,https://bricklink.com/v2/catalog/catalogitem.page?M=atl008
atl022,Atlantis Diver 5 - Samantha Rhodes - With Yellow Flippers and Trans-Yellow Visor,Atlantis,https://bricklink.com/v2/catalog/catalogitem.page?M=atl022
atl009,Atlantis Diver 6 - Jeff Fisher,Atlantis,https://bricklink.com/v2/catalog/catalogitem.page?M=atl009
atl014,Atlantis Diver 6 - Jeff Fisher - With Yellow Flippers and Trans-Yellow Visor,Atlantis,https://bricklink.com/v2/catalog/catalogitem.page?M=atl014
atl023,Atlantis Diver 7 - Brains - With Yellow Flippers and Trans-Yellow Visor,Atlantis,https://bricklink.com/v2/catalog/catalogitem.page?M=atl023
atl017,Atlantis Hammerhead Warrior,Atlantis,https://bricklink.com/v2/catalog/catalogitem.page?M=atl017
atl019,Atlantis Lobster Guardian,Atlantis,https://bricklink.com/v2/catalog/catalogitem.page?M=atl019
atl003,Atlantis Manta Warrior,Atlantis,https://bricklink.com/v2/catalog/catalogitem.page?M=atl003
atl013,Atlantis Portal Emperor,Atlantis,https://bricklink.com/v2/catalog/catalogitem.page?M=atl013
atl004,Atlantis Shark Warrior,Atlantis,https://bricklink.com/v2/catalog/catalogitem.page?M=atl004
atl007,Atlantis Squid Warrior,Atlantis,https://bricklink.com/v2/catalog/catalogitem.page?M=atl007
gen031,"Skeleton with Standard Skull, Black Aquaraiders II Helmet",Atlantis,https://bricklink.com/v2/catalog/catalogitem.page?M=gen031
atl020,Statue - Atlantis Temple (Poseidon),Atlantis,https://bricklink.com/v2/catalog/catalogitem.page?M=atl020
ava001,Aang,Avatar,https://bricklink.com/v2/catalog/catalogitem.page?M=ava001
