image,item_number,color_code,description,color,emotion,link,release_year
NA,3626cpb2138,90,"Minifigure, Head Dual Sided Brown Eyebrows, Cheek Lines, Chin Dimple, Mud Stains, Determined / Scared Pattern (SW Han Solo, Mudtrooper)",Light Nougat,surprised,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2138,2018
NA,3626cpb2262,90,"Minifigure, Head Dual Sided Dark Tan Eyebrows, Chin Dimple, White Pupils, Stern / Scared, Sunken Left Eye Pattern (SW Luke Skywalker)",Light Nougat,annoyed,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2262,2018
NA,3626cpb2262,90,"Minifigure, Head Dual Sided Dark Tan Eyebrows, Chin Dimple, White Pupils, Stern / Scared, Sunken Left Eye Pattern (SW Luke Skywalker)",Light Nougat,surprised,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2262,2018
NA,3626cpb2107,90,"Minifigure, Head Dual Sided Dark Tan Eyebrows, Chin Dimple, Concerned / Closed Eyes, Meditating Pattern (SW Luke Skywalker)",Light Nougat,annoyed,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2107,2018
NA,3626cpb2107,90,"Minifigure, Head Dual Sided Dark Tan Eyebrows, Chin Dimple, Concerned / Closed Eyes, Meditating Pattern (SW Luke Skywalker)",Light Nougat,annoyed,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2107,2018
NA,3626bpb0292,90,"Minifigure, Head Male Black and Red Bangs, Black Eyebrows, Mouth Open to Side Pattern",Light Nougat,annoyed,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0292,2008
NA,3626cpb1173,90,"Minifigure, Head Dual Sided Black Bushy Eyebrows, Cheek Lines, Scowl/Right Eye Scarred Area Pattern (Flashback Shredder)",Light Nougat,annoyed,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1173,2014
NA,3626cpb1173,90,"Minifigure, Head Dual Sided Black Bushy Eyebrows, Cheek Lines, Scowl/Right Eye Scarred Area Pattern (Flashback Shredder)",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1173,2014
NA,3626cpb1994,90,"Minifigure, Head Dual Sided Black Eyebrows and Beard, Firm / Angry Expression Pattern",Light Nougat,annoyed,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1994,2018
NA,3626cpb1994,90,"Minifigure, Head Dual Sided Black Eyebrows and Beard, Firm / Angry Expression Pattern",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1994,2018
NA,3626cpb1332,90,"Minifigure, Head Dual Sided Brown Eyebrows, Stern Expression / Dark Red Goggles, Clenched Teeth Pattern (Hawkeye)",Light Nougat,annoyed,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1332,2015
NA,3626cpb1332,90,"Minifigure, Head Dual Sided Brown Eyebrows, Stern Expression / Dark Red Goggles, Clenched Teeth Pattern (Hawkeye)",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1332,2015
NA,3626cpb1262,90,"Minifigure, Head Dual Sided Brown Eyebrows, Stubble Beard, Gold Chin Strap, Serious / Bared Teeth Pattern (Hawkman)",Light Nougat,annoyed,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1262,2015
NA,3626cpb1262,90,"Minifigure, Head Dual Sided Brown Eyebrows, Stubble Beard, Gold Chin Strap, Serious / Bared Teeth Pattern (Hawkman)",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1262,2015
NA,3626cpb2254,90,"Minifigure, Head Dual Sided Dark Bluish Gray Eyebrows and Sideburns, Cheek Lines, Frown / Mouth with Teeth Pattern",Light Nougat,annoyed,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2254,2018
