"","item_number","description","category","item_link","minifigs_link","color_link","Name"
"322","28798pb03","Minifigure, Hair Female Pigtails High Bouncy, Hole on Top with Bright Pink Hair on Left Side and Tie on Right Side Pattern","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=28798pb03","https://www.bricklink.com/catalogItemIn.asp?P=28798pb03&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=28798pb03#T=C","Medium Azure"
"323","28798pb05","Minifigure, Hair Female Pigtails High Bouncy, Hole on Top with Coral Hair on Left Side and Coral Tie on Right Side Pattern (BAM)","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=28798pb05","https://www.bricklink.com/catalogItemIn.asp?P=28798pb05&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=28798pb05#T=C","Bright Light Yellow"
"324","28798pb05","Minifigure, Hair Female Pigtails High Bouncy, Hole on Top with Coral Hair on Left Side and Coral Tie on Right Side Pattern (BAM)","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=28798pb05","https://www.bricklink.com/catalogItemIn.asp?P=28798pb05&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=28798pb05#T=C","Dark Pink"
"325","28798pb04","Minifigure, Hair Female Pigtails High Bouncy, Hole on Top with Red Hair on Left Side and Red Tie on Right Side Pattern","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=28798pb04","https://www.bricklink.com/catalogItemIn.asp?P=28798pb04&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=28798pb04#T=C","Black"
"326","20596","Minifigure, Hair Female Pigtails High, Long Bangs, Hole on Top","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=20596","https://www.bricklink.com/catalogItemIn.asp?P=20596&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=20596#T=C","Bright Light Yellow"
"327","20596","Minifigure, Hair Female Pigtails High, Long Bangs, Hole on Top","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=20596","https://www.bricklink.com/catalogItemIn.asp?P=20596&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=20596#T=C","Dark Orange"
"328","20596","Minifigure, Hair Female Pigtails High, Long Bangs, Hole on Top","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=20596","https://www.bricklink.com/catalogItemIn.asp?P=20596&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=20596#T=C","Dark Tan"
"329","20596","Minifigure, Hair Female Pigtails High, Long Bangs, Hole on Top","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=20596","https://www.bricklink.com/catalogItemIn.asp?P=20596&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=20596#T=C","Magenta"
"330","20596pb02","Minifigure, Hair Female Pigtails High, Long Bangs, Hole on Top with Blue Left Half Pattern","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=20596pb02","https://www.bricklink.com/catalogItemIn.asp?P=20596pb02&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=20596pb02#T=C","Red"
"331","20596pb03","Minifigure, Hair Female Pigtails High, Long Bangs, Hole on Top with Dark Azure Hair Ties and Dark Azure and Red Tips Pattern","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=20596pb03","https://www.bricklink.com/catalogItemIn.asp?P=20596pb03&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=20596pb03#T=C","White"
"332","20596pb01","Minifigure, Hair Female Pigtails High, Long Bangs, Hole on Top with Dark Green Hair Ties Pattern","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=20596pb01","https://www.bricklink.com/catalogItemIn.asp?P=20596pb01&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=20596pb01#T=C","Dark Tan"
"333","20596pb04","Minifigure, Hair Female Pigtails High, Long Bangs, Hole on Top with Dark Pink Hair Ties and Dark Azure and Dark Pink Tips Pattern","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=20596pb04","https://www.bricklink.com/catalogItemIn.asp?P=20596pb04&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=20596pb04#T=C","Bright Light Yellow"
"334","4050","Minifigure, Hair Female Pigtails in Looped Buns","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=4050","https://www.bricklink.com/catalogItemIn.asp?P=4050&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=4050#T=C","Dark Purple"
"335","x104","Minifigure, Hair Female Ponytail","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=x104","https://www.bricklink.com/catalogItemIn.asp?P=x104&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=x104#T=C","Black"
"336","x104","Minifigure, Hair Female Ponytail","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=x104","https://www.bricklink.com/catalogItemIn.asp?P=x104&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=x104#T=C","Brown"
"337","x104","Minifigure, Hair Female Ponytail","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=x104","https://www.bricklink.com/catalogItemIn.asp?P=x104&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=x104#T=C","Dark Brown"
"338","x104","Minifigure, Hair Female Ponytail","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=x104","https://www.bricklink.com/catalogItemIn.asp?P=x104&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=x104#T=C","Light Bluish Gray"
"339","x104","Minifigure, Hair Female Ponytail","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=x104","https://www.bricklink.com/catalogItemIn.asp?P=x104&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=x104#T=C","Medium Tan"
"340","x104","Minifigure, Hair Female Ponytail","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=x104","https://www.bricklink.com/catalogItemIn.asp?P=x104&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=x104#T=C","Orange"
